date,open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
29/12/2021,1.64074E+12,0.0002247,0.0002263,0.0002194,0.000225,3334798,1.64082E+12,743.6548314,6207,1639660,365.9419683,0
30/12/2021,1.64082E+12,0.000225,0.0002299,0.0002234,0.0002259,4140252,1.64091E+12,933.4328186,6350,2040407,460.2879915,0
31/12/2021,1.64091E+12,0.0002259,0.0002273,0.000221,0.0002255,3243813,1.641E+12,725.2352642,5510,1756827,393.0546816,0
01/01/2022,1.641E+12,0.0002257,0.0002284,0.0002236,0.0002256,2283680,1.64108E+12,516.5456392,4121,1132418,256.2203077,0
02/01/2022,1.64108E+12,0.0002258,0.0002286,0.0002229,0.0002242,2174766,1.64117E+12,489.9249282,3913,1150994,259.5008429,0
03/01/2022,1.64117E+12,0.0002243,0.0002247,0.0002186,0.000221,2890829,1.64125E+12,640.5227294,5129,1535360,340.3304217,0
04/01/2022,1.64125E+12,0.000221,0.0002222,0.0002148,0.0002172,2867761,1.64134E+12,625.8123196,5242,1510196,329.6458855,0
05/01/2022,1.64134E+12,0.0002174,0.0002236,0.0002073,0.0002184,6201464,1.64143E+12,1347.333662,10205,3312767,720.8935117,0
06/01/2022,1.64143E+12,0.000218,0.0002305,0.0002168,0.0002286,4636971,1.64151E+12,1034.18628,7707,2681169,597.7826123,0
07/01/2022,1.64151E+12,0.0002286,0.0002419,0.0002267,0.0002388,6149736,1.6416E+12,1450.372465,11189,3875965,915.7036018,0
08/01/2022,1.6416E+12,0.0002388,0.000245,0.0002371,0.0002417,3871904,1.64169E+12,930.5654978,6889,1724337,414.6723358,0
09/01/2022,1.64169E+12,0.0002417,0.0002428,0.0002375,0.0002389,2405508,1.64177E+12,576.768092,4278,1274113,305.6920071,0
10/01/2022,1.64177E+12,0.000239,0.0002431,0.0002363,0.0002399,4337763,1.64186E+12,1038.435971,7177,2437905,584.3962148,0
11/01/2022,1.64186E+12,0.00024,0.0002426,0.0002334,0.0002377,4559683,1.64195E+12,1081.44283,7270,2237081,531.4425459,0
12/01/2022,1.64195E+12,0.0002378,0.0002399,0.0002332,0.0002367,4127156,1.64203E+12,974.0657858,6602,2190351,517.1151686,0
13/01/2022,1.64203E+12,0.0002368,0.0002386,0.0002336,0.000237,2582492,1.64212E+12,609.1673742,4678,1322070,312.1178785,0
14/01/2022,1.64212E+12,0.000237,0.00024,0.0002329,0.0002336,3146963,1.6422E+12,743.1361824,5215,1400125,330.762827,0
15/01/2022,1.6422E+12,0.0002335,0.000237,0.0002328,0.0002344,1906958,1.64229E+12,446.7899347,3507,960913,225.2456749,0
16/01/2022,1.64229E+12,0.0002345,0.0002359,0.0002306,0.0002324,1944788,1.64238E+12,453.9283583,3675,1111388,259.4578993,0
17/01/2022,1.64238E+12,0.0002326,0.0002393,0.0002323,0.0002372,2669699,1.64246E+12,627.9728608,4822,1436345,338.3297852,0
18/01/2022,1.64246E+12,0.0002375,0.0002403,0.0002348,0.0002379,1731362,1.64255E+12,411.3871125,3805,907741,215.8155061,0
19/01/2022,1.64255E+12,0.0002378,0.0002407,0.0002344,0.0002392,3178361,1.64264E+12,754.8919201,5435,1582499,376.2777867,0
20/01/2022,1.64264E+12,0.0002392,0.0002403,0.0002327,0.0002395,3444297,1.64272E+12,816.5648896,5527,1689881,401.3841079,0
21/01/2022,1.64272E+12,0.0002399,0.0002538,0.0002387,0.0002479,12000617,1.64281E+12,2916.903979,16162,7453054,1813.586248,0
22/01/2022,1.64281E+12,0.0002477,0.0002529,0.0002362,0.0002475,14476281,1.6429E+12,3527.680291,19335,7755503,1895.074107,0
23/01/2022,1.6429E+12,0.0002475,0.0002513,0.0002444,0.0002474,6410453,1.64298E+12,1590.987563,8532,2743078,680.9973194,0
24/01/2022,1.64298E+12,0.0002477,0.000259,0.0002461,0.0002505,7638521,1.64307E+12,1927.038352,13317,3371789,852.8688695,0
25/01/2022,1.64307E+12,0.0002509,0.0002561,0.0002452,0.0002514,3840141,1.64316E+12,956.2123152,7695,1903919,474.8649181,0
26/01/2022,1.64316E+12,0.0002515,0.0002539,0.0002395,0.0002513,6378384,1.64324E+12,1575.702113,11087,3165833,784.2676554,0
27/01/2022,1.64324E+12,0.0002517,0.0002548,0.0002452,0.0002511,4174918,1.64333E+12,1046.390554,7461,2262352,567.4570471,0
28/01/2022,1.64333E+12,0.000251,0.0002535,0.0002393,0.0002404,4206708,1.64341E+12,1038.946557,7653,1722212,425.1071903,0
29/01/2022,1.64341E+12,0.0002402,0.0002426,0.0002361,0.0002373,2364797,1.6435E+12,567.4235657,4681,1217332,292.4011654,0
30/01/2022,1.6435E+12,0.0002376,0.0002397,0.0002307,0.0002312,2102036,1.64359E+12,494.8563941,4205,954338,224.9038641,0
31/01/2022,1.64359E+12,0.0002309,0.0002344,0.0002245,0.0002298,4563537,1.64367E+12,1049.069543,6211,2674573,615.1020096,0
01/02/2022,1.64367E+12,0.0002299,0.00023,0.0002221,0.0002254,2436461,1.64376E+12,548.9715796,4808,1010468,227.8519461,0
02/02/2022,1.64376E+12,0.0002255,0.0002299,0.0002227,0.0002241,2129109,1.64385E+12,481.9144724,4726,1027990,232.7405399,0
03/02/2022,1.64385E+12,0.0002239,0.0002318,0.0002209,0.0002264,1977187,1.64393E+12,449.7090048,4714,1040788,236.7917611,0
04/02/2022,1.64393E+12,0.000226,0.0002279,0.0002153,0.000219,3448343,1.64402E+12,755.5355642,6426,1704716,373.3777849,0
05/02/2022,1.64402E+12,0.000219,0.0002301,0.0002186,0.0002209,3647015,1.64411E+12,812.5843061,6239,1813088,404.0226595,0
06/02/2022,1.64411E+12,0.0002208,0.000226,0.0002204,0.0002233,1582020,1.64419E+12,352.5757525,2983,744703,166.0880053,0
07/02/2022,1.64419E+12,0.0002233,0.000266,0.0002232,0.0002646,12345930,1.64428E+12,3080.892768,21474,7463503,1866.235316,0
08/02/2022,1.64428E+12,0.0002649,0.0002873,0.0002613,0.0002811,12733469,1.64436E+12,3505.195958,29339,6449514,1776.831412,0
09/02/2022,1.64436E+12,0.0002808,0.0002912,0.0002662,0.0002684,7714628,1.64445E+12,2143.132514,18219,3852125,1071.441955,0
10/02/2022,1.64445E+12,0.0002684,0.000276,0.0002671,0.0002686,6193953,1.64454E+12,1680.429601,10192,2207040,599.3062414,0
11/02/2022,1.64454E+12,0.0002686,0.0002708,0.0002588,0.0002592,4222303,1.64462E+12,1116.16656,9425,2094653,553.951728,0
12/02/2022,1.64462E+12,0.0002593,0.0002908,0.0002587,0.0002817,5712079,1.64471E+12,1581.405197,12672,3547654,983.0308266,0
13/02/2022,1.64471E+12,0.0002819,0.0002882,0.0002775,0.0002806,5063303,1.6448E+12,1427.713114,8152,2193673,620.6793204,0
14/02/2022,1.6448E+12,0.0002805,0.0002809,0.0002692,0.0002735,3477951,1.64488E+12,956.7085208,6564,1279200,351.8166934,0
15/02/2022,1.64488E+12,0.0002735,0.0002812,0.0002636,0.0002674,3392417,1.64497E+12,915.4683553,7177,1578834,426.4496172,0
16/02/2022,1.64497E+12,0.0002674,0.0002702,0.0002619,0.0002681,3946777,1.64506E+12,1049.530004,6121,1881005,500.4702659,0
17/02/2022,1.64506E+12,0.0002681,0.000271,0.0002631,0.0002657,4175730,1.64514E+12,1115.322097,6712,1685897,450.4654284,0
18/02/2022,1.64514E+12,0.0002659,0.0002862,0.0002655,0.0002822,4328257,1.64523E+12,1189.67604,8399,2703106,743.7595624,0
19/02/2022,1.64523E+12,0.0002822,0.0003077,0.0002785,0.0002972,8866046,1.64532E+12,2617.127825,13061,4189863,1233.19709,0
20/02/2022,1.64532E+12,0.0002973,0.0003053,0.0002908,0.0002961,4972812,1.6454E+12,1479.397479,9472,2461992,734.2858206,0
21/02/2022,1.6454E+12,0.0002963,0.0002974,0.0002718,0.0002733,7798186,1.64549E+12,2236.506793,11510,3005968,866.3393932,0
22/02/2022,1.64549E+12,0.0002731,0.000275,0.0002656,0.0002734,5150678,1.64557E+12,1393.954683,9132,2623920,710.7257382,0
23/02/2022,1.64557E+12,0.0002734,0.0002742,0.0002662,0.00027,2527006,1.64566E+12,681.1625866,5086,1310315,353.4113846,0
24/02/2022,1.64566E+12,0.0002701,0.0002728,0.0002614,0.0002681,6268166,1.64575E+12,1678.356246,12816,3080995,825.8065889,0
25/02/2022,1.64575E+12,0.0002684,0.0002823,0.0002608,0.0002782,5609676,1.64583E+12,1506.661787,10283,2426962,652.3366751,0
26/02/2022,1.64583E+12,0.0002783,0.0002818,0.0002659,0.0002703,4839688,1.64592E+12,1329.217939,9354,1954548,537.5702574,0
27/02/2022,1.64592E+12,0.00027,0.0002767,0.0002646,0.0002757,3143736,1.64601E+12,851.66802,6909,1653522,448.3376536,0
28/02/2022,1.64601E+12,0.0002758,0.0002771,0.0002673,0.0002673,3879756,1.64609E+12,1056.993052,7281,1813608,493.8914917,0
01/03/2022,1.64609E+12,0.0002672,0.0002677,0.0002606,0.0002636,3606009,1.64618E+12,953.4986289,7010,1615313,427.3815474,0
